job_id,title,company,location,latitude,longitude,salary_min,salary_max,contract_type,description,category,created,redirect_url
4801581967,Chef de projets Data (F/H),Micropole,"Villeurbanne, Lyon",45.76471,4.88039,,,,Mission En résumé : Poste : Chef de Projets Data (H/F) Localité : Lyon Type de contrat : CDI Niveau d’expérience : au moins 5 ans Vous êtes passionné(e)s par la data ? Vous êtes convaincus que l’optimisation du patrimoine data des entreprises est la clé de leur performance ? Vous voulez rendre les entreprises data driven et les aider à se transformer pour préparer dès à présent leur futur ? Vous êtes au fait des dernières tendances et prêt à explorer de nouveaux territoires ? Vous souhaitez rej…,Unknown,2024-07-30T23:46:49Z,https://www.adzuna.fr/details/4801581967?utm_medium=api&utm_source=a24f9369
4940969443,Contrôleur de Gestion Industriel H/F,Expliseat,"Angers-Nord-Ouest, Angers",47.50683,-0.58974,,,,"En tant que Contrôleur de gestion Industriel basé au sein de notre usine à Angers, vous êtes rattaché(e) à la Directrice Administrative & Financière basée au siège à Paris. A ce titre vous avez pour missions principales : 1/ Analyse des coûts de production série de nos projets - Aider à la projection des coûts lors des différentes étapes d'industrialisation (en lien avec les équipes Achats, Usine, Supply) - Calculer et analyser les coûts de revient, les marges et les écarts - Suivre les coûts d…",Emplois Fabrication,2024-11-16T04:49:08Z,https://www.adzuna.fr/details/4940969443?utm_medium=api&utm_source=a24f9369
4939380999,Data Analyst H/F,Michael Page,"Rueil-Malmaison, Nanterre",48.8774,2.17913,,,permanent,"Le poste de Data Analyst H/F Le Data Analyst interviendra sur les sujets suivants :  Il assure la construction et l'évolution du/des entrepôts de données,  Il assure la construction, l'évolution, l'interprétation et la diffusion des rapports BI et web analytics,  Il travaille en étroite collaboration avec les études et le digital pour la mise en place des analyses et des outils nécessaires,  Il travaille avec l'équipe infrastructure pour lui permettre d'assurer le maintien en condition opératio…",Unknown,2024-11-14T23:13:14Z,https://www.adzuna.fr/details/4939380999?utm_medium=api&utm_source=a24f9369
4933176389,stagiaire chargé(e) de projet data et analyse de données (Data Analyst) F/H,VINCI Group,"Hauts-de-Seine, Ile-de-France",48.82583,2.245857,,,,"Rattaché(e) au Département Data de la Direction financière de VINCI Airports, et dans le cadre de la mise en œuvre du projet stratégique Smart Data Hub, visant à offrir à l'ensemble des aéroports du groupe les outils pour mieux piloter la performance de leur activité grâce à la data, nous recherchons un(e) Gestionnaire de projet junior data pour rejoindre notre équipe dynamique. Dans ce rôle, vous serez responsable de la mise en œuvre des cas d'usage data, couvrant l'ensemble du processus, de l…",Emplois Autres/Général,2024-11-09T23:43:10Z,https://www.adzuna.fr/details/4933176389?utm_medium=api&utm_source=a24f9369
4943952288,BI Consultant,Trimane,"Paris, Ile-de-France",48.863839,2.344631,,,permanent,"As a BI Analyst / Analytics engineer, you will be part of the Data team, a transverse organization supporting our Business. You will deliver quality products conforming to business requirements, data quality, data management and business intelligence best practices using an agile methodology. As BI Analyst / Analytics Engineer, you will be part of a team of a multi skill Data for a Domain team and you'll act as a BI and data warehousing expert which role is to : ● Gather and understand business…",Emplois Informatique,2024-11-19T07:38:23Z,https://www.adzuna.fr/details/4943952288?utm_medium=api&utm_source=a24f9369
4939073734,INGENIEUR DATA F/H,GROUPE SEB,"Ecully, Lyon",45.77455,4.77889,,,permanent,"Rejoignez nos équipes de la DSI : Notre équipe Systèmes d'Information rassemble 450 passionnés, 20 métiers qui travaillent sur plus de 350 projets et 800 applications à travers le monde. Proximité et innovation font partie de leur ADN. Leur mission ? Délivrer de la valeur ajoutée à leurs clients internes et externes en s'appuyant sur des méthodes agiles. Comment ? Par la protection des données, la continuité du business, le développement d'une expérience digitale positive et la co-construction …",Emplois Fabrication,2024-11-14T18:04:48Z,https://www.adzuna.fr/details/4939073734?utm_medium=api&utm_source=a24f9369
4937217305,ESG Data Analyst,Tikehau Capital,"8ème Arrondissement, Paris",48.8814,2.3365,,,permanent,"MISSIONS: [FR] Vous êtes un professionnel passionné par l’analyse de données et vous recherchez un poste stimulant et varié ? Rejoignez notre équipe pour des missions excitantes dans le domaine du data management  En tant que data manager, vous serez responsable de la gestion et du pilotage des données ESG sur toutes les classes d’actifs en veillant à leur fiabilité et leur cohérence. Vous serez également impliqué dans les projets du domaine ESG contribuant ainsi à des initiatives stratégiques …",Unknown,2024-11-13T08:26:04Z,https://www.adzuna.fr/details/4937217305?utm_medium=api&utm_source=a24f9369
4939657215,Architecte Data H/F,Open,"Rangueuil, Toulouse",43.60436,1.44295,,,,"La Business Unit Open Sud-Ouest c'est 200 collaborateurs qui interviennent en direct chez nos clients Grands Comptes, dans leurs locaux ou au sein de notre centre de services, avec une politique de télétravail flexible (jusqu'à 3 jours par semaine). Nous les accompagnons sur leurs projets applicatifs et d'infrastructure, sur du Pilotage de projet, de l'assistance à Maîtrise d'Ouvrage, de l'expertise Data. Venez renforcer nos équipes  Au sein de notre CDS spécialisé dans la Data au niveau du gro…",Emplois Informatique,2024-11-15T04:36:59Z,https://www.adzuna.fr/land/ad/4939657215?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=F2BB153C15AA399EC058FC6A447319A06C72D67A
4903951886,Head of Software Factory H/F,Michael Page ,"Neuilly-sur-Seine, Nanterre",48.88357,2.27251,,,,"À propos de notre client Notre client est un acteur leader de son domaine d'activité présent dans plus de 80 pays. Ce poste de Head of Software Factory se situe au sein de la DSI corporate de notre client, mais dans un rayonnement d'intervention et d'influence très large au sein du Groupe et des filiales. Description Pour ce poste de Head of Software Factory, vos missions seront très variées : Vous pilotez une équipe d'une petite quinzaine à l'instant T composée d'externes et d'internes et surt…",Emplois Informatique,2024-10-16T15:12:47Z,https://www.adzuna.fr/land/ad/4903951886?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=214CFC1ED2E59333CAB613DB734D8745AA00A0B4
4934709482,Paris Product Owner (F/H),Novencia,"Paris, Ile-de-France",48.863839,2.344631,,,,"Product Owner depuis au moins 5 ans, vous êtes à la recherche de nouveaux défis. Bouclez votre ceinture, la suite est pour vous  La vision produit, c’est vous  En accompagnant votre client dans la conception d’un service ou produit, vous répondez aux besoins et problèmes de vos utilisateurs de manière itérative et incrémentale. Capable d’arbitrer un choix fonctionnel, vous êtes la passerelle entre l’univers business et l’univers technique. Nos nombreux référencements et bien d’autres à venir of…",Emplois Consultants,2024-11-11T15:43:56Z,https://www.adzuna.fr/land/ad/4934709482?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=1B3F2D3872702335C05AB18C05E89BD2238F58D8
